backend,total_blocks,image_size_kb,rep,metric,value
row,1024,4096,8,num_writes,102
row,1024,4096,8,delta_block_count,102
row,1024,4096,8,discard_us,312.0838664472103
row,1024,4096,8,commit_us,3122.1669632941484
row,1024,4096,9,snapshot_create_us,492.91597679257393
row,1024,4096,9,write_during_snap_total_us,2923.1670778244734
row,1024,4096,9,write_during_snap_per_block_us,28.65850076298503
row,1024,4096,9,num_writes,102
row,1024,4096,9,delta_block_count,102
row,1024,4096,9,discard_us,318.0417697876692
row,1024,4096,9,commit_us,2978.9998661726713
row,1024,4096,10,snapshot_create_us,521.6249264776707
row,1024,4096,10,write_during_snap_total_us,4426.667001098394
row,1024,4096,10,write_during_snap_per_block_us,43.398696089199944
row,1024,4096,10,num_writes,102
row,1024,4096,10,delta_block_count,102
row,1024,4096,10,discard_us,338.9168996363878
row,1024,4096,10,commit_us,3145.4998534172773
row,4096,16384,1,snapshot_create_us,1580.1249537616968
row,4096,16384,1,write_during_snap_total_us,11740.750167518854
row,4096,16384,1,write_during_snap_per_block_us,28.70599062963045
row,4096,16384,1,num_writes,409
row,4096,16384,1,delta_block_count,409
row,4096,16384,1,discard_us,1184.9168222397566
row,4096,16384,1,commit_us,11961.417039856315
row,4096,16384,2,snapshot_create_us,1532.7499713748693
row,4096,16384,2,write_during_snap_total_us,12248.292099684477
row,4096,16384,2,write_during_snap_per_block_us,29.9469244491063
row,4096,16384,2,num_writes,409
row,4096,16384,2,delta_block_count,409
row,4096,16384,2,discard_us,1162.3750906437635
row,4096,16384,2,commit_us,12141.291983425617
row,4096,16384,3,snapshot_create_us,2332.041971385479
row,4096,16384,3,write_during_snap_total_us,13536.290964111686
row,4096,16384,3,write_during_snap_per_block_us,33.09606592692344
row,4096,16384,3,num_writes,409
row,4096,16384,3,delta_block_count,409
row,4096,16384,3,discard_us,1234.7088195383549
row,4096,16384,3,commit_us,12055.957922711968
row,4096,16384,4,snapshot_create_us,1383.249880746007
row,4096,16384,4,write_during_snap_total_us,13427.000027149916
